AccountId,Pool Balance
5HdZGjnnFse8vGeFh2S27xKHYxLvjvVuoK1879i2wyXSX8AF,3416644286894032
5EtXZ798ZS9RtzhTbxbCoHYN2ZVdHK5Yzvo3qdQQas5XC3D9,10000000000
5GREeQcGHt7na341Py6Y6Grr38KUYRvVoiFSiDB52Gt7VZiN,2394568983596
5EP3WQns43NRypgcqqb3sSXAugE73uExLXrtmzP4c9LEehyw,2486892191205
5G7HmJ1T8QPwB617axKgCeiwCPk7WiqqB41KrhKV8fWy3Q8V,85507640661466831
5Ea6L5GjM2Xiykwyhf75Kc6JncNXKMvT6TDhTgkJA9JYApHk,103061565836399
5G37EjzukybyVa4r8muHbrZ1aTLnHxFBSP9ajCEPonwYCMJK,408638616654802
5DeyCtMXzWQfwdcBKGn84tepbfjdUL1NAB9gs8ADdHEt7Trw,9511470775717987
5DtkptGAdj7bLoXvTy7qNYc26sx5iggWHVLiojh3bKxMzfiJ,124020575612457
5ESE8xBQvePbGKuCMPTgsyUetUqrqT2eyJcnQgG15nayUMsn,5003631610783
5G9Es892oATpPDnfGgGFS5McvYnjZpUVdVq9sfcwMVMTtNZC,18263046090802253
5C5fWZRshPQzdSVnyJo9xjpUJnazWYtpfjVctQKAF9JZ3G2A,399841616528602
5DjxYSSBYhbUyvaPkub5S2NQzCeJHuytwWzFNWvEztXGjHyz,99809372001780
5D2atEVuNsCz5GJKDd9bVFEZtWp2vcvuC2uHves23FC4tMe2,39502282341
5E2QsndStQ89zAzY9doUv2WvY9HjTpNJ9uC2AB8ZaznbWXNu,6796862294371917
5FW1NXfD9G9NjFD9d2chnd1oEK2PaQ1rHPCam7zqpJCPesYv,99275082365657
5Hm9WbxMuLb2oGqU699c7Nf1f1tkSpm2GRVYWg7NDThKjuNV,7763785713385
5H8hArcS28RvxVdJXRaGdYz9mpZDR299uGMTiYFWzWxC5r4X,499712671974795
5FUQqzctv4xisbDhrhwzWfJjezYhn5zXSmwHXYMn4Qs2Ezac,75420425605197
5CfyFtZ2Rw9gWmDHxDFNBAj4MRuFVPz9e8yofmPbLZRLKWBz,121115445052309
5Cf9vyQBhhpycKH5eoRf7nCPsCicmZEnERUqzY1nff3RHiTq,6327266685983
5CJX5TSEokNNvgN23BKDLg5wPrC1hjmNb99hwndgEJK5x5jK,50291537820289972
5HYH1zVDPdszvwKUjDKs11HLgzFT1X6d4ho94BUmJTxqyDSw,4998866802867081
5D4ejSKFAKvahck5LezMqrKEd3AqmhG3ATtE6Nehamy3WSkT,199984261786189
5FUT3oPmttYxaEe8KbdXCwovvz7tSQHqmGzz968yGZtAcT8s,999695219001272
5FLXTXyMkRnGQLC4LrgtD22yMZP3mqrgqs6nSnoi62A6d8U6,1536685006387092
5HNpf9ydo2C2TFBS1frahQeNDVdG2QABGckGsBNKxPq44Mgb,2379454102987
5Dtu2D65WXPBt5jkGSDpKYfJLvS5fJW7NEPGzro1VZg2SXvT,501705338965408
5FRBAAMoPshaG4fJoXShYMBG4FdGneQi2DZgrsurWqaTr41i,450191263162023
5CCk57vH4CbSXybiUW92NvL1pmZqLRFu5nkFBgtZsAaBCMQ8,1827434581263
5Df86iGeKgZWNbF3ZSQuxLH2gT8rMP59QkZeuuxFmPFHL9dQ,1704104231887574
5GmVv5FZb7zguzGftZ8KjpREs7UxnQA7xh9PnBrikqPn4VdV,597664624848021
5Dw7MaPSgN2Qh9bB1G83Gv5mmQwBKD93K961AaaYsV9RM168,2726476511790777
5Exyar4kUgMtVgSNeeb1nzxQyyJuxmSFnjXHgAka1TneAmx6,13009222970513203
5Hor5gaoGwxmPZ4jwXuwLNPnQtUtKHLx8dENAcQJ5WoXGvgt,2659352086115463
5D9ieEbJL9pavGApHs6wSAGnUbN1J5DZshoJ2skTBFg6Z7z4,52502779524000786
5Coiddko324JRzZpr7yKMEhXhhmEEZS1PL3bW3zuydiiyj1G,29989743019603
5DvibJKhceQ8gk52hoQ4CTbMG1NNMUYPtvDWBhqKs2LVGdr5,10000000000
5GHtirraLbXNnFMyRrMFY1MfJHpPqZaaNw89n7yGiQx8d4aW,123894110002050
5GFibG3LzKFJDLTfcNv9QA9UGENMojR9kMSgzcvKug3LLZGH,100000000000
